
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
adder/adder_24/mx4 evMUX2_1_36  TSMC13_Conservative slow  library default
adder/adder_25     evLPFA_6     TSMC13_Conservative slow  library default
adder/adder_25/inv evCINV_6     TSMC13_Conservative slow  library default
adder/adder_25/mx1 evMUX2_1_35  TSMC13_Conservative slow  library default
adder/adder_25/mx2 evMUX2_1_34  TSMC13_Conservative slow  library default
adder/adder_25/mx3 evMUX2_1_33  TSMC13_Conservative slow  library default
adder/adder_25/mx4 evMUX2_1_32  TSMC13_Conservative slow  library default
adder/adder_26     evLPFA_5     TSMC13_Conservative slow  library default
adder/adder_26/inv evCINV_5     TSMC13_Conservative slow  library default
adder/adder_26/mx1 evMUX2_1_31  TSMC13_Conservative slow  library default
adder/adder_26/mx2 evMUX2_1_30  TSMC13_Conservative slow  library default
adder/adder_26/mx3 evMUX2_1_29  TSMC13_Conservative slow  library default
adder/adder_26/mx4 evMUX2_1_28  TSMC13_Conservative slow  library default
adder/adder_27     evLPFA_4     TSMC13_Conservative slow  library default
adder/adder_27/inv evCINV_4     TSMC13_Conservative slow  library default
adder/adder_27/mx1 evMUX2_1_27  TSMC13_Conservative slow  library default
adder/adder_27/mx2 evMUX2_1_26  TSMC13_Conservative slow  library default
adder/adder_27/mx3 evMUX2_1_25  TSMC13_Conservative slow  library default
adder/adder_27/mx4 evMUX2_1_24  TSMC13_Conservative slow  library default
adder/adder_28     evLPFA_3     TSMC13_Conservative slow  library default
adder/adder_28/inv evCINV_3     TSMC13_Conservative slow  library default
adder/adder_28/mx1 evMUX2_1_23  TSMC13_Conservative slow  library default
adder/adder_28/mx2 evMUX2_1_22  TSMC13_Conservative slow  library default
adder/adder_28/mx3 evMUX2_1_21  TSMC13_Conservative slow  library default
adder/adder_28/mx4 evMUX2_1_20  TSMC13_Conservative slow  library default
adder/adder_29     evLPFA_2     TSMC13_Conservative slow  library default
adder/adder_29/inv evCINV_2     TSMC13_Conservative slow  library default
adder/adder_29/mx1 evMUX2_1_19  TSMC13_Conservative slow  library default
adder/adder_29/mx2 evMUX2_1_18  TSMC13_Conservative slow  library default
adder/adder_29/mx3 evMUX2_1_17  TSMC13_Conservative slow  library default
adder/adder_29/mx4 evMUX2_1_16  TSMC13_Conservative slow  library default
adder/adder_30     evLPFA_1     TSMC13_Conservative slow  library default
adder/adder_30/inv evCINV_1     TSMC13_Conservative slow  library default
adder/adder_30/mx1 evMUX2_1_15  TSMC13_Conservative slow  library default
adder/adder_30/mx2 evMUX2_1_14  TSMC13_Conservative slow  library default
adder/adder_30/mx3 evMUX2_1_13  TSMC13_Conservative slow  library default
adder/adder_30/mx4 evMUX2_1_12  TSMC13_Conservative slow  library default
adder/adder_31     evLPFA_0     TSMC13_Conservative slow  library default
adder/adder_31/inv evCINV_0     TSMC13_Conservative slow  library default
adder/adder_31/mx1 evMUX2_1_11  TSMC13_Conservative slow  library default
