
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/18/synopsys/typical.db
Simulation period[1]: 0 ns - 296801 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Thu Jul 26 14:18:00 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 UMC18_Conservative typical library default
    Leakage Power   = reverse-biased junction leakage + subthreshold leakage


-----------------------------------------------------------------------------
Level         Instance_Name (Cell_Name)   #_of_States
-----------------------------------------------------------------------------
 Total      Dynamic    Leakage    Switching  Internal   X-tran     Glitch
 Power      Power      Power      Power      Power      Power      Power
 in Watt    in Watt    in Watt    in Watt    in Watt    in Watt    in Watt
            (% of Tot) (% of Tot) (% of Dyn) (% of Dyn) (% of Dyn) (% of Dyn)
-----------------------------------------------------------------------------
            Peak            Peak
            Power       Time Interval
            in Watt         in ns
-----------------------------------------------------------------------------

----------------------------- Instances -------------------------------------
*--------- 0  pp_root (.) 293668
 7.466e-04  7.466e-04  3.566e-08  7.188e-04  2.781e-05  5.339e-07  1.932e-08
            (100.00%)  (  0.00%)  ( 96.28%)  (  3.72%)  (  0.07%)  (  0.00%)
            1.984e-01  221985-221986 

-*-------- 1  evlpMultiplier16 (evlpMultiplier16) 293668
 7.466e-04  7.466e-04  3.566e-08  7.188e-04  2.781e-05  5.339e-07  1.932e-08
            (100.00%)  (  0.00%)  ( 96.28%)  (  3.72%)  (  0.07%)  (  0.00%)
            1.984e-01  221985-221986 

--*------- 2  evlpMultiplier16/mux (evlpMux2_1_wdt17) 61654
 6.539e-04  6.539e-04  7.189e-09  6.536e-04  2.283e-07  4.963e-07  1.538e-08
            (100.00%)  (  0.00%)  ( 99.97%)  (  0.03%)  (  0.08%)  (  0.00%)
            1.959e-01  221985-221986 

---*------ 3  evlpMultiplier16/mux/mux_8 (evMUX2_1_76) 4285
 4.915e-05  4.915e-05  4.358e-10  4.915e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    2985-2986   

---*------ 3  evlpMultiplier16/mux/mux_7 (evMUX2_1_77) 4268
 4.876e-05  4.876e-05  4.358e-10  4.876e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    3105-3106   

---*------ 3  evlpMultiplier16/mux/mux_9 (evMUX2_1_75) 4219
 4.838e-05  4.838e-05  4.358e-10  4.838e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    3105-3106   

---*------ 3  evlpMultiplier16/mux/mux_6 (evMUX2_1_78) 4230
 4.816e-05  4.816e-05  4.358e-10  4.816e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    3304-3305   

---*------ 3  evlpMultiplier16/mux/mux_5 (evMUX2_1_79) 4184
 4.706e-05  4.706e-05  4.358e-10  4.706e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    2985-2986   

---*------ 3  evlpMultiplier16/mux/mux_10 (evMUX2_1_74) 4086
 4.618e-05  4.618e-05  4.358e-10  4.618e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    2985-2986   

---*------ 3  evlpMultiplier16/mux/mux_4 (evMUX2_1_80) 3971
 4.458e-05  4.458e-05  4.358e-10  4.458e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02     507-508    

---*------ 3  evlpMultiplier16/mux/mux_3 (evMUX2_1_81) 3932
