
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/13/synopsys/typical.db
Simulation period[1]: 0 ns - 29681 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Tue Aug 14 19:40:20 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 TSMC13_Conservative typical library default
counter/ff_6       evMS_Rstbl_FlipFlop_9 TSMC13_Conservative typical library default
counter/ff_7       evMS_Rstbl_FlipFlop_8 TSMC13_Conservative typical library default
counter/ff_8       evMS_Rstbl_FlipFlop_7 TSMC13_Conservative typical library default
counter/ff_9       evMS_Rstbl_FlipFlop_6 TSMC13_Conservative typical library default
counter/ff_10      evMS_Rstbl_FlipFlop_5 TSMC13_Conservative typical library default
counter/ff_11      evMS_Rstbl_FlipFlop_4 TSMC13_Conservative typical library default
counter/ff_12      evMS_Rstbl_FlipFlop_3 TSMC13_Conservative typical library default
counter/ff_13      evMS_Rstbl_FlipFlop_2 TSMC13_Conservative typical library default
counter/ff_14      evMS_Rstbl_FlipFlop_1 TSMC13_Conservative typical library default
counter/ff_15      evMS_Rstbl_FlipFlop_0 TSMC13_Conservative typical library default
low_res_latch      evInpDemuxLatch_wdt16 TSMC13_Conservative typical library default
low_res_latch/latch_0 evLatch_cell_15 TSMC13_Conservative typical library default
low_res_latch/latch_1 evLatch_cell_14 TSMC13_Conservative typical library default
low_res_latch/latch_2 evLatch_cell_13 TSMC13_Conservative typical library default
low_res_latch/latch_3 evLatch_cell_12 TSMC13_Conservative typical library default
low_res_latch/latch_4 evLatch_cell_11 TSMC13_Conservative typical library default
low_res_latch/latch_5 evLatch_cell_10 TSMC13_Conservative typical library default
low_res_latch/latch_6 evLatch_cell_9 TSMC13_Conservative typical library default
low_res_latch/latch_7 evLatch_cell_8 TSMC13_Conservative typical library default
low_res_latch/latch_8 evLatch_cell_7 TSMC13_Conservative typical library default
low_res_latch/latch_9 evLatch_cell_6 TSMC13_Conservative typical library default
low_res_latch/latch_10 evLatch_cell_5 TSMC13_Conservative typical library default
low_res_latch/latch_11 evLatch_cell_4 TSMC13_Conservative typical library default
low_res_latch/latch_12 evLatch_cell_3 TSMC13_Conservative typical library default
low_res_latch/latch_13 evLatch_cell_2 TSMC13_Conservative typical library default
low_res_latch/latch_14 evLatch_cell_1 TSMC13_Conservative typical library default
low_res_latch/latch_15 evLatch_cell_0 TSMC13_Conservative typical library default

Library Power-specific unit information :
	Time Unit : 1 ns
	Capacitance Unit : 1 pF
	Voltage Unit : 1 V
	Dynamic Power Unit : 0.001 W
	Leakage Power Unit : 1e-12 W


Definitions:
    Total Power     = Dynamic + Leakage
    Dynamic Power   = Switching + Internal
    Switching Power = load capacitance charge or discharge power
    Internal Power  = power dissipated within a cell
    X-tran Power    = component of dynamic power-dissipated into x-transitions
    Glitch Power    = component of dynamic power-dissipated into detectable
                      glitches at the nets
    Leakage Power   = reverse-biased junction leakage + subthreshold leakage


-----------------------------------------------------------------------------
Level         Instance_Name (Cell_Name)   #_of_States
-----------------------------------------------------------------------------
 Total      Dynamic    Leakage    Switching  Internal   X-tran     Glitch
 Power      Power      Power      Power      Power      Power      Power
 in Watt    in Watt    in Watt    in Watt    in Watt    in Watt    in Watt
            (% of Tot) (% of Tot) (% of Dyn) (% of Dyn) (% of Dyn) (% of Dyn)
-----------------------------------------------------------------------------
            Peak            Peak
            Power       Time Interval
            in Watt         in ns
-----------------------------------------------------------------------------

----------------------------- Instances -------------------------------------
*--------- 0  pp_root (.) 285047
 3.788e-04  3.788e-04  1.971e-10  3.158e-04  6.303e-05  6.678e-07  0.000e+00
            (100.00%)  (  0.00%)  ( 83.36%)  ( 16.64%)  (  0.18%)  (  0.00%)
            7.617e-03   17906-17907  

-*-------- 1  evlpMultiplier16 (evlpMultiplier16) 285047
 3.788e-04  3.788e-04  1.971e-10  3.158e-04  6.303e-05  6.678e-07  0.000e+00
            (100.00%)  (  0.00%)  ( 83.36%)  ( 16.64%)  (  0.18%)  (  0.00%)
            7.617e-03   17906-17907  

--*------- 2  evlpMultiplier16/mux (evlpMux2_1_wdt17) 56722
 2.846e-04  2.846e-04  3.601e-11  2.683e-04  1.631e-05  6.084e-07  0.000e+00
            (100.00%)  (  0.00%)  ( 94.27%)  (  5.73%)  (  0.21%)  (  0.00%)
            7.416e-03   17906-17907  

---*------ 3  evlpMultiplier16/mux/mux_8 (evMUX2_1_76) 4025
 2.157e-05  2.157e-05  2.000e-12  2.034e-05  1.229e-06  3.083e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.30%)  (  5.70%)  (  0.14%)  (  0.00%)
            5.713e-04     304-305    

---*------ 3  evlpMultiplier16/mux/mux_7 (evMUX2_1_77) 4000
